0 -0.025 0.017 0.377 0.138 0.11678571428571494
0.5 0.205 0.2407 0.847 0.4221 0.4645285714285719
1 0.599 0.6047 0.930 0.762 0.8122714285714289
1.5 0.671 0.711 1.127 1.077 1.1600142857142859
2 1.462 1.169 1.950 1.756 1.5077571428571428
2.5 1.223 1.188 1.610 1.894 1.8554999999999997
3 1.238 1.711 1.773 2.071 2.2032428571428566
