0 -0.025 0.017 0.377 0.138 0.0509999999999996
0.5 0.205 0.2407 0.847 0.4221 0.28985714285714254
1 0.599 0.6047 0.930 0.762 0.5287142857142855
1.5 0.671 0.711 1.127 1.077 0.7675714285714285
2 1.462 1.169 1.950 1.756 1.0064285714285712
2.5 1.223 1.188 1.610 1.894 1.245285714285714
3 1.238 1.711 1.773 2.071 1.4841428571428574
