0.000 0
0.242 0
0.515 0
1.000 0
1.500 0
1.740 0.002
1.939 0.007
2.147 0.018
2.253 0.027
2.360 0.040
2.552 0.070
2.752 0.111
2.851 0.133
2.991 0.166
3.117 0.195
3.219 0.218
3.467 0.277
3.733 0.336
3.901 0.359
